amount,name,unit
150,Joghurt,g
1,mittelgroße Papaya,
1,kleine Banane,
50,Blaubeeren,g
4,Dinkel-Flakes,EL
2,flüssiger Honig,TL
,Salz,
100,REWE ja! Emmentaler gerieben (45 % Fett),g
125,REWE ja! Rohschinken gewürfelt,g
,Fett für die Form,
1,rote Zwiebel,
1,REWE ja! Butter mild gesäuert,EL
400,frische Spätzle (Kühlregal),g
85,REWE Bio Süßrahmbutter,g
1,REWE Bio Zitrone,
4,Eier,
4,Eigelb,
50,ja! Puderzucker,g
1,Vanilleextrakt,TL
5,Schnittlauch,Halm(e)
,Salz,
85,Lemon Curd,g
,etwas Butter zum Einfetten,
,etwas Puderzucker zum Bestäuben,
2,Ingwer,cm
1,Zitronengras,Stange(n)
150,Tofu,g
150,braune Champignons,g
100,Kirschtomaten,g
1,Karotte,
1,gelbe Paprika,
1,Chilli,
1,Kokosmilch,Dose(n)
350,Gemüsebrühe,ml
2,Kaffir Limettenblätter (getrocknet),
2,Mandelblättchen,EL
2,Sojasoße,EL
1,Limette,
100,ja! Weiße Schokolade,g
65,REWE Beste Wahl Weizenmehl Type 405,g
"0,50",brauner Zucker,TL
,Salz,
2,Koriander,Stiel(e)
6,Chiquita Bananen (überreif),
1,Vanilleschote,
100,Magerquark,g
240,Milch,ml
6,Ahornsirup,EL
100,Macadamia,g
100,Haselnüsse,g
400,Vollkorn-Dinkelmehl,g
100,Haselnüsse (gemahlen),g
4,Backpulver,TL
2,Eier,
1,Salz,Prise(n)
400,Tempeh,g
"0,50",Ananas,
3,Frühlingszwiebeln,
10,Cherrytomaten,
4,Sojasoße,EL
2,Agavendicksaft,EL
1,Bio-Limette,
2,Sesamöl,EL
1,Knoblauchzehe,
1,Schalotte,
"0,50",rote Chilischote,
1,Erdnussmus,EL
2,Rapsöl,EL
1,Rohrohrzucker,TL
2,"geröstete, gesalzene Erdnüsse",EL
100,Gemüsebrühe,ml
1,Koriander,Bund
1,Spitzkohl,
2,Zwiebeln,
2,Butterschmalz,EL
400,Schupfnudeln,g
4,Möhren,
1,Salatgurke,
1,Kümmel,Prise(n)
1,Pfeffer,Prise(n)
,Salz,
4,geräucherte Mettenden,
2,Schalotten,
3,Chiquita Bananen (überreif),
1,Chilischote,
2,Rapsöl,EL
1,Currypulver,TL
1,Kurkuma,TL
200,Gemüsebrühe,ml
400,Kokosmilch,ml
200,Orangensaft,ml
15,Koriander,g
1,Erdnüsse,Handvoll
,Salz,
,Pfeffer,
"0,50",REWE Regional Hokkaido,
1,REWE Regional Zwiebel,
1,Knoblauchzehe,
2,Rapsöl,EL
,Salz,
