name,amount,unit
Eigelb ,10,
Zucker ,375,g
Vanillezucker ,2,Pck
Vanillearoma ,1,Fläschchen
Weißwein ,1,Liter
Wasser ,1,Tasse
Strohrum ,½,Tasse
Zitrone(n) ,1,
"Honig, Bioqualität",3,ELgehäuft
"Senf, mittelscharfer ",3,ELgehäuft
"Dill, fein gehackt, bei getrocknetem nur 1 EL gestrichen",1,ELgehäuft
"Zitronensaft, frisch gepresst",2,EL
"Zitrone(n), Schale davon, bio",½,
"Meersalz, feines",1,Prisen
"Pfeffer, weißer ",1,Prisen
"Kichererbsen, ca. 400 g",1,Dose
Tahin ,3,TL
Rosmarinzweig(e) ,3,
Schalotte(n) ,5,
"Honig, nach Möglichkeit Rosmarinhonig",3,TL
"Öl, neutral",2,EL
Balsamico ,1,EL
"Zitrone(n), Saft davon ",1,
Salz und Pfeffer ,,
"Maismehl, weißes",120,g
Salz ,½,TL
"Wasser, kochendes",180,ml
"Schweineschmalz oder Fett von 4 Scheiben ausgelassenem Bacon, bei Bedarf auch mehr",2,EL
Ahornsirup ,,n.B
Zartbitterschokolade ,150,g
Ei(er) ,7,
Zucker ,150,g
Vanillezucker ,1,Paket
"Haselnüsse, gemahlen ",150,g
Mehl ,25,g
Backpulver ,1,TL
Butter ,450,g
Puderzucker ,150,g
Ei(er) ,5,
Zartbitterschokolade ,225,g
Rindfleisch aus der Keule,2,kg
"Paprikapulver, edelsüß ",3,EL
"Senf, mittelscharfer oder scharf",1,
Pfeffer ,,
Rapsöl zum Braten,,etwas
Zwiebel(n) ,8,m.-große
Möhre(n) ,4,
Sellerie ,2,Stücke
Tomatenmark ,3,EL
Paprikacreme ,3,EL
Rinderfond oder Brühe,1,Liter
"Traubensaft, ungesüßt, oder Rotwein",1,Schuss
Salz und Pfeffer ,,n.B
"Paprikapulver, edelsüß ",,n.B
Lorbeerblatt ,1,
Lauchstange(n) ,½,
Petersilie ,1,Bund
Pflaumenmus ,,n.B
Haselnüsse ,125,g
Zucker ,125,g
Ei(er) ,3,
Vanillezucker ,1,Pck
"Rumaroma, ersatzweise auch Rum",½,Fläschchen
Zimtpulver ,1,Msp
