name,amount,unit
Spinat,200,g
Zwiebeln,2,
Chorizo,400,g
Paprika geröstet,1,Glas
Kirschtomaten,250,g
Öl,1,EL
Gemüsebrühe,750,ml
Gnocchi (Kühlregal),500,g
Sahne,200,g
Salz,,
Pfeffer,,
Parmesan,50,g
mittelgroße Papaya,1,
Joghurt,150,g
Quark,150,g
kleine Banane,1,
Blaubeeren,50,g
Dinkel-Flakes,4,EL
Mandelblättchen,2,EL
flüssiger Honig,2,TL
frische Spätzle (Kühlregal),400,g
Salz,,
REWE ja! Emmentaler gerieben (45 % Fett),100,g
Fett für die Form,,
REWE ja! Rohschinken gewürfelt,125,g
rote Zwiebel,1,
REWE ja! Butter mild gesäuert,1,EL
Schnittlauch,5,Halm(e)
ja! Weiße Schokolade,100,g
REWE Bio Süßrahmbutter,85,g
REWE Bio Zitrone,1,
Eier,4,
Eigelb,4,
ja! Puderzucker,50,g
Vanilleextrakt,1,TL
REWE Beste Wahl Weizenmehl Type 405,65,g
Salz,,
Lemon Curd,85,g
etwas Butter zum Einfetten,,
etwas Puderzucker zum Bestäuben,,
Ingwer,2,cm
Zitronengras,1,Stange(n)
Tofu,150,g
braune Champignons,150,g
Kirschtomaten,100,g
Karotte,1,
gelbe Paprika,1,
Chilli,1,
Kokosmilch,1,Dose(n)
Gemüsebrühe,350,ml
Kaffir Limettenblätter (getrocknet),2,
Sojasoße,2,EL
Limette,1,
brauner Zucker,"0,50",TL
Salz,,
Koriander,2,Stiel(e)
Chiquita Bananen (überreif),6,
Vanilleschote,1,
Magerquark,100,g
Milch,240,ml
Ahornsirup,6,EL
Macadamia,100,g
Haselnüsse,100,g
Vollkorn-Dinkelmehl,400,g
Haselnüsse (gemahlen),100,g
Backpulver,4,TL
Eier,2,
Salz,1,Prise(n)
Tempeh,400,g
Ananas,"0,50",
Frühlingszwiebeln,3,
Cherrytomaten,10,
Sojasoße,4,EL
Agavendicksaft,2,EL
Bio-Limette,1,
Sesamöl,2,EL
Salatgurke,1,
Möhren,4,
Knoblauchzehe,1,
Schalotte,1,
rote Chilischote,"0,50",
Erdnussmus,1,EL
Rapsöl,2,EL
Rohrohrzucker,1,TL
Gemüsebrühe,100,ml
"geröstete, gesalzene Erdnüsse",2,EL
Koriander,1,Bund
Spitzkohl,1,
Zwiebeln,2,
Butterschmalz,2,EL
Schupfnudeln,400,g
Kümmel,1,Prise(n)
Pfeffer,1,Prise(n)
Salz,,
geräucherte Mettenden,4,
Schalotten,2,
Chiquita Bananen (überreif),3,
Chilischote,1,
Rapsöl,2,EL
Currypulver,1,TL
Kurkuma,1,TL
Gemüsebrühe,200,ml
Kokosmilch,400,ml
Orangensaft,200,ml
Koriander,15,g
Erdnüsse,1,Handvoll
Salz,,
Pfeffer,,
REWE Regional Hokkaido,"0,50",
REWE Regional Zwiebel,1,
Knoblauchzehe,1,
Rapsöl,2,EL
Risottoreis,200,g
Weißwein,100,ml
Gemüsebrühe,750,ml
Salz,,
Pfeffer,,
Cayennepfeffer,,
Parmesan,50,g
Kürbiskerne,30,g
Trockenhefe,6,g
Salz,1,TL
Mehl (Type 550),300,g
Zucker,1,Prise(n)
Wasser,170,ml
Zwiebeln,700,g
Sojamehl,3,TL
Räuchertofu,200,g
Pflanzenöl,1,EL
Soja Kochcreme,200,ml
Pfeffer,,
Muskatnuss,,
Margarine,"0,50",TL
Schalotte,1,
Knoblauchzehe,1,
Ingwer,1,Stück
Kokosmilch,200,ml
"geröstete, gesalzene Erdnüsse",100,g
Sojasoße,3,EL
Tamarindenpaste,2,EL
Zucker,1,TL
Limette,1,
Salz,,
Tempeh,300,g
Öl,2,EL
Brokkoli,400,g
grüne Bohnen,200,g
Möhren,2,
Lauchzwiebeln,3,
hartgekochte Eier,2,
Seitan,500,g
rote Zwiebeln,3,
Zucchini,2,
Möhren,2,
Lauchzwiebeln,2,
Öl,2,EL
Knoblauchzehen,3,
Gemüsebrühe,150,ml
Ketchup,8,EL
Essig,3,EL
Sojasoße,4,EL
Cayennepfeffer,,
Maisstärke,1,TL
REWE Regional Fenchel,500,g
REWE Regional Kartoffeln,100,g
Zwiebel,1,
Rapsöl,3,EL
Curry (mild),2,EL
Weißwein,200,ml
Gemüsebrühe,400,ml
Sahne,200,ml
Salz,,
Pfeffer,,
Toastbrot,4,Scheibe(n)
Bandnudeln,400,g
Zuckerschoten,300,g
rote Zwiebel,1,
Knoblauch,1,Zehe(n)
Olivenöl,2,EL
Weißwein (Two Oceans Sauvignon Blanc),125,ml
Sahne,200,ml
Gemüsebrühe,100,ml
Salz,,
Pfeffer,,
Muskat,,
Parmesan,50,g
REWE Regional Kartoffeln,800,g
Salz,,
REWE Regional Brokkoli,1,kg
Knoblauch,2,Zehe(n)
Eier,3,
REWE Bio Ziegenfrischkäse,150,g
Mehl,80,g
Paniermehl,150,g
Pfeffer,,
Muskat,,
Öl,2,EL
Schnittlauch,"0,50",Bund
Milch,200,ml
Butter,50,g
Mehl,270,g
Butter,125,g
Eier,3,
Salz,,
Wasser,2,EL
Rosenkohl,300,g
Möhren,200,g
Schalotten,2,
Rapsöl,2,EL
Pfeffer,,
THOMY Sauce Hollandaise,1,Packung(en)
REWE Bio Himbeeren TK,150,g
Speisequark Magerstufe,500,g
Bananen,1,
Zentis Erdbeere Fruchtaufstrich 50 % weniger Zucker,4,EL
REWE Beste Wahl Knusper Müsli weniger süß,50,g
Kokos-Chips,40,g
frische Shiitakepilze,150,g
Pak Choi,200,g
fester Tofu,200,g
Zwiebel,1,
Sesamöl,4,EL
Gemüsebrühe,"1,20",l
rote Currypaste,2,EL
Eier,2,
Mie Nudeln,350,g
Koriander,10,Stiel(e)
Chilifäden,1,Prise(n)
Schalotten,60,g
Estragon,8,Zweig(e)
REWE Feine Welt Lesvos g.g.A. mildes Olivenöl,3,EL
Schlagsahne,200,g
REWE Feine Welt Gemüse Fond,1,Glas
heller Soßenbinder,4,EL
Salz,,
Pfeffer,,
REWE Feine Welt Elsässer Sonntag (Bandnudeln),200,g
Lachsfilets,4,Stück
Zwiebel,1,
Gewürzgurken,120,g
"Rinderrouladen, 6 Stück",1,kg
Salz,,
Pfeffer,,
"Senf, mittelscharf",80,g
geräucherter Bauchspeck,120,g
Butterschmalz,3,EL
Tomatenmark,1,EL
Rotwein,200,ml
Gemüsebrühe,250,ml
brauner Zucker,1,EL
Speisestärke,2,TL
Kräuterseitlinge,350,g
Zwiebel,1,
Schinkenwürste,2,
Oregano,5,Zweig(e)
REWE Feine Welt Lesvos g.g.A: Olivenöl,2,EL
REWE Feine Welt Rosa Kristallsalz,,
REWE Bio Pfeffer a. d. Mühle,,
ja! Tomatenmark,1,EL
ja! gehackte Tomaten,400,g
REWE Bio Gemüsebrühe (Instant),150,ml
ja! Zucker,,
REWE Feine Welt Elsässer Sonntag (extrabreite Bandnudeln),400,g
Putenschnitzel (à ca. 200 g),4,
REWE Feine Welt Prosciutto,4,Scheibe(n)
Salbei,12,Blatt
REWE Feine Welt Elsässer Sonntag (extrabreite Bandnudeln),400,g
Salz,,
Knoblauch,2,Zehe(n)
Chilischote,1,
REWE Feine Welt Lesvos g.g.A. Olivenöl,2,EL
Tomatenmark,2,EL
REWE Feine Welt Sugo piccante,1,Glas
tiefgefrorener Blattspinat,"0,80",kg
Rapsöl,1,l
Basmatireis,400,g
kleiner Kopf Brokkoli,1,
Aubergine,1,
Champignons,200,g
Hähnchenbrust,2,Stück
Salz,,
Pfeffer,,
Mehl,5,EL
Eier,2,
Panko Paniermehl,8,EL
Kokosöl,2,EL
Teriyaki-Sauce,100,ml
Sriracha Sauce,50,ml
Sojasprossen,100,g
Bio-Lachsfilet (tiefgefroren),1,Packung(en)
Weißkohl,"0,25",
Olivenöl,4,EL
Zitronensaft,2,EL
Honig,2,TL
Salz,,
Pfeffer,,
Ingwer,50,g
Vanilleschoten,2,
Bio-Orange,"0,50",
REWE Feine Welt Bandnudeln Elsässer Sonntag,2,Portionen
Pflanzenöl,2,EL
Butter,30,g
Thymian,4,Zweig(e)
REWE Beste Wahl tiefgefrorener Blattspinat,400,g
Rapsöl,2,EL
Pinienkerne,30,g
Schalotten,2,
Knoblauchzehe,1,
Gemüsebrühe,200,ml
Salz,,
weißer Pfeffer,,
frische geriebene Muskatnuss,,
Schmand,100,g
REWE Beste Wahl Bandnudeln,400,g
Parmesankäse,40,g
REWE Feine Welt Elsässer Sonntag (Bandnudeln),400,g
rote Chilischote,1,
Kirschtomaten,250,g
"küchenfertige Garnelen (ohne Kopf, Schale und Darm)",200,g
Mangosauce,100,g
Basilikum,2,Zweig(e)
Öl,2,EL
Salz,,
Pfeffer,,
Schalotten,2,
REWE Feine Welt Le Gruyère AOP,150,g
grüner Spargel,500,g
Porree,1,Stange(n)
Schnittlauch,1,Bund
REWE Feine Welt Elsässer Sonntag Bandnudeln,400,g
Salz,,
REWE Feine Welt Gemüsefond,400,ml
REWE Feine Welt Lesvos g.g.A. Olivenöl,2,EL
Schlagsahne,200,g
(gestrichen) Speisestärke,1,TL
Zitronensaft,2,EL
REWE Feine Welt Fleur de Sel,,
REWE Feine Welt Zitronenpfeffer,,
Löffelbiskuit,100,g
Baiser,50,g
brauner Zucker,60,g
Puderzucker,50,g
Mascarpone,400,g
Schlagsahne,150,ml
Espresso,100,ml
Amaretto,50,ml
Vanilleschote,1,
Limette,1,
Schokoraspeln,2,EL
Passionsfrüchte,2,
Erdbeeren,400,g
"Minze, frisch",,etwas
Espresso,350,ml
Zucker,110,g
Eigelbe,4,
Mascarpone,500,g
Löffelbiskuits,200,g
Kakaopulver,2,EL
Äpfel,2,
brauner Zucker,25,g
Weißwein,100,ml
Zitronensaft,1,TL
Zimt,1,TL
gehackte Mandeln,25,g
Mascarpone,125,g
Joghurt,75,g
Vanillezucker,1,Päckchen
Zucker,1,EL
Löffelbiskuits,100,g
Amaretto,4,EL
Kakaopulver,,
Eier,4,
Vanillin-Zucker,1,Packung(en)
Salz,1,Prise(n)
Zucker,170,g
Mehl,75,g
Speisestärke,75,g
Backpulver,2,TL
Schlagsahne,800,g
Sahnefestiger,2,Packung(en)
REWE Feine Welt dunkle Kakaocreme,200,g
Kirsch-Konfitüre,250,g
Zartbitter-Schokolade,100,g
Sauerkirschen,1,Dose(n)
Fett und Mehl für die Form,,
Einmal-Spritzbeutel,,
"REWE Bio Joghurt mild 1,8% (Mehrweg)",230,g
Eier,3,
Öl,60,ml
Vanillezucker,2,Päckchen
Bio Zitrone,1,
REWE Bio Dinkelvollkornmehl,280,g
Weinsteinbackpulver,3,TL
zuckerreduzierter Fruchtaufstrich Waldbeere,70,g
Sushi-Reis,150,g
Reisessig,20,ml
Salz,,
Zucker,,
"Lachsfilet (roh, im Stück)",50,g
Salatgurke,50,g
Avocado,1,
Noriblätter,2,
Wasabipaste,,
Sojasoße,,
Schalotten,2,
Mehl,1,EL
Öl,1,EL
Salz,,
Zucker,2,TL
Hot Dog Brötchen,4,
Hot Dog Würstchen,,
Gewürzgurken,2,
Remoulade,4,EL
Ketchup,4,TL
mittelscharfer Senf,4,TL
rote Zwiebel,1,
Knoblauch,1,Zehe(n)
rote Chilischote,1,
Rapsöl,2,EL
zuckerreduzierter Fruchtaufstrich Erdbeere,"3,50",EL
heller Balsamico,3,EL
REWE Bio Hähnchenbrustfilet (à 320 g),2,Packung(en)
Salz,,
Paprikapulver edelsüß,,
Pfeffer,,
Feldsalat,150,g
Olivenöl,3,EL
Senf,1,TL
Walnüsse,20,g
Nori-Algen-Blätter,9,
Öl,4,EL
Salz,1,TL
Wasabi-Erdnüsse,60,g
Saure Sahne,200,g
Puderzucker,200,g
Marzipanrohmasse,250,g
Amaretto,2,EL
Zimt,"0,50",TL
Kakaopulver,2,EL
frische Wakame Algen,1000,g
Sesam,120,g
Limettensaft,5,EL
Zucker,3,Prise(n)
Pfeffer,,
Sesamöl,8,EL
REWE Bio Penne Rote Linsen (250 g),1,Packung(en)
Brokkoli,1,
Kirschtomaten,200,g
Knoblauch,2,Zehe(n)
Rapsöl,1,EL
REWE Bio Pizzatomaten (à 425 ml),2,Dose(n)
Salz,,
Pfeffer,,
Cayennepfeffer,,
REWE Bio Mozzarella,125,g
Soft-Aprikosen,30,g
Soft-Datteln,30,g
Seeberger Walnüsse,50,g
Seeberger Cranberries,50,g
Cashewkerne natur,30,g
Kürbiskerne ohne Schale,30,g
Olivenöl,1,EL
REWE Bio Ahornsirup,1,EL
REWE Bio Zucchini,1,
REWE Bio Aubergine,1,
REWE Bio Möhren,200,g
Zwiebel,1,
