unit,name
Prise(n),Salz
Messerspitze,Salz
etwas,Salz
noUnit,Salz
EL,Salz
g,Salz
TL,Salz
Prise(n),Pfeffer
Messerspitze,Pfeffer
Msp.,Pfeffer
etwas,Pfeffer
noUnit,Pfeffer
g,Pfeffer
EL,Pfeffer
TL,Pfeffer
Tasse(n),Zucker
Prise(n),Zucker
g,Zucker
TL,Zucker
EL,Zucker
etwas,Zucker
noUnit,Zucker
kg,Zucker
g,Olivenöl
noUnit,Olivenöl
Schuss,Olivenöl
ml,Olivenöl
etwas,Olivenöl
Spritzer,Olivenöl
TL,Olivenöl
EL,Olivenöl
EL,Butter
noUnit,Butter
etwas,Butter
TL,Butter
g,Butter
EL,Mehl
noUnit,Mehl
ml,Mehl
etwas,Mehl
kg,Mehl
Tasse(n),Mehl
TL,Mehl
g,Mehl
noUnit,Eier
l,Milch
EL,Milch
TL,Milch
g,Milch
Tasse(n),Milch
ml,Milch
etwas,Milch
noUnit,Milch
l,Öl
ml,Öl
etwas,Öl
noUnit,Öl
EL,Öl
g,Öl
TL,Öl
kleine,Zwiebel
g,Zwiebel
noUnit,Zwiebel
große,Zwiebel
l,Gemüsebrühe
ml,Gemüsebrühe
etwas,Gemüsebrühe
noUnit,Gemüsebrühe
g,Gemüsebrühe
EL,Gemüsebrühe
TL,Gemüsebrühe
Zweig(e),Knoblauch
noUnit,Knoblauch
etwas,Knoblauch
Zehe(n),Knoblauch
Stange(n),Petersilie
EL,Petersilie
noUnit,Petersilie
Zweig(e),Petersilie
Bund,Petersilie
etwas,Petersilie
Stiel(e),Petersilie
g,Petersilie
TL,Petersilie
kleine,Knoblauchzehe
noUnit,Knoblauchzehe
ml,Rapsöl
TL,Rapsöl
EL,Rapsöl
g,Rapsöl
Schuss,Rapsöl
noUnit,Rapsöl
l,Rapsöl
Packung(en),Backpulver
TL,Backpulver
g,Backpulver
EL,Backpulver
Messerspitze,Backpulver
Päckchen,Backpulver
noUnit,Backpulver
l,Sahne
ml,Sahne
g,Sahne
EL,Sahne
Becher,Sahne
große,Zwiebeln
kleine,Zwiebeln
noUnit,Zwiebeln
g,Zwiebeln
noUnit,Knoblauchzehen
TL,Zitronensaft
Spritzer,Zitronensaft
einige,Zitronensaft
EL,Zitronensaft
noUnit,Zitronensaft
ml,Zitronensaft
cl,Zitronensaft
etwas,Zitronensaft
TL,Honig
EL,Honig
g,Honig
noUnit,Honig
ml,Honig
g,Möhren
kg,Möhren
Bund,Möhren
noUnit,Möhren
Stiel(e),Thymian
Messerspitze,Thymian
TL,Thymian
g,Thymian
noUnit,Thymian
Zweig(e),Thymian
Bund,Thymian
Topf,Thymian
g,Puderzucker
EL,Puderzucker
noUnit,Puderzucker
TL,Puderzucker
Packung(en),Puderzucker
etwas,Puderzucker
Packung(en),Vanillezucker
g,Vanillezucker
EL,Vanillezucker
TL,Vanillezucker
Päckchen,Vanillezucker
noUnit,Zimt
EL,Zimt
TL,Zimt
Prise(n),Zimt
Messerspitze,Zimt
Msp.,Zimt
Stange(n),Zimt
etwas,Zimt
Tasse(n),Wasser
TL,Wasser
EL,Wasser
g,Wasser
noUnit,Wasser
l,Wasser
ml,Wasser
etwas,Wasser
noUnit,Zitrone
halbe,Zitrone
kleine,Zitrone
Stück,Zitrone
Spritzer,Zitrone
Handvoll,Schnittlauch
Stiel(e),Schnittlauch
g,Schnittlauch
EL,Schnittlauch
etwas,Schnittlauch
Bund,Schnittlauch
noUnit,Schnittlauch
Halm(e),Schnittlauch
Zweig(e),Schnittlauch
noUnit,Ei
Stück,Ei
Bund,Rosmarin
TL,Rosmarin
g,Rosmarin
Stiel(e),Rosmarin
noUnit,Rosmarin
Zweig(e),Rosmarin
Stange(n),Rosmarin
große,Kartoffeln
kg,Kartoffeln
noUnit,Kartoffeln
g,Kartoffeln
Zweig(e),Basilikum
g,Basilikum
Bund,Basilikum
Blätter,Basilikum
Handvoll,Basilikum
Stiel(e),Basilikum
Päckchen,Basilikum
Topf,Basilikum
Stange(n),Basilikum
etwas,Basilikum
noUnit,Basilikum
etwas,Koriander
Stange(n),Koriander
g,Koriander
TL,Koriander
Stiel(e),Koriander
Handvoll,Koriander
Topf,Koriander
Bund,Koriander
Zweig(e),Koriander
noUnit,Koriander
TL,Speisestärke
etwas,Speisestärke
g,Speisestärke
EL,Speisestärke
EL,brauner Zucker
TL,brauner Zucker
g,brauner Zucker
ml,brauner Zucker
noUnit,brauner Zucker
noUnit,rote Zwiebel
große,rote Zwiebel
kleine,rote Zwiebel
TL,Tomatenmark
EL,Tomatenmark
g,Tomatenmark
kg,Zucchini
kleine,Zucchini
g,Zucchini
noUnit,Zucchini
große,Zucchini
Dose(n),Tomaten
g,Tomaten
kg,Tomaten
große,Tomaten
noUnit,Tomaten
Prise(n),Meersalz
Messerspitze,Meersalz
EL,Meersalz
g,Meersalz
TL,Meersalz
etwas,Meersalz
noUnit,Meersalz
g,Schalotten
noUnit,Schalotten
kleine,Schalotten
ml,Sonnenblumenöl
EL,Sonnenblumenöl
g,Sonnenblumenöl
TL,Sonnenblumenöl
noUnit,Muskat
etwas,Muskat
Msp.,Muskat
Prise(n),Muskat
Messerspitze,Muskat
TL,Muskat
kg,rote Paprika
Schote(n),rote Paprika
noUnit,rote Paprika
g,rote Paprika
halbe,Vanilleschote
g,Vanilleschote
noUnit,Vanilleschote
Schote(n),Vanilleschote
Stück,Vanilleschote
noUnit,Senf
EL,Senf
TL,Senf
Stück,Kirschtomaten
kg,Kirschtomaten
noUnit,Kirschtomaten
g,Kirschtomaten
Handvoll,Kirschtomaten
noUnit,Parmesan
g,Parmesan
EL,Parmesan
Bund,Minze
Zweig(e),Minze
Blätter,Minze
Stange(n),Minze
noUnit,Minze
etwas,Minze
Stiel(e),Minze
g,Minze
Bund,Frühlingszwiebeln
g,Frühlingszwiebeln
Zweig(e),Frühlingszwiebeln
große,Frühlingszwiebeln
Stück,Frühlingszwiebeln
Stange(n),Frühlingszwiebeln
noUnit,Frühlingszwiebeln
TL,Schlagsahne
ml,Schlagsahne
noUnit,Schlagsahne
g,Schlagsahne
EL,Schlagsahne
Scheibe(n),Limette
halbe,Limette
noUnit,Limette
Stange(n),Dill
EL,Dill
Stiel(e),Dill
g,Dill
Handvoll,Dill
noUnit,Dill
Bund,Dill
Zweig(e),Dill
noUnit,Bio-Zitrone
halbe,Bio-Zitrone
cm,Ingwer
Scheibe(n),Ingwer
Prise(n),Ingwer
g,Ingwer
Messerspitze,Ingwer
Knolle(n),Ingwer
Stück,Ingwer
g,glatte Petersilie
Bund,glatte Petersilie
Zweig(e),glatte Petersilie
Packung(en),glatte Petersilie
noUnit,glatte Petersilie
Stiel(e),glatte Petersilie
Handvoll,glatte Petersilie
TL,glatte Petersilie
EL,Weißwein
ml,Weißwein
etwas,Weißwein
noUnit,Weißwein
Packung(en),Feta
g,Feta
g,Schmand
EL,Schmand
Becher,Schmand
TL,Schmand
noUnit,Schmand
ml,Schmand
Handvoll,Rucola
g,Rucola
noUnit,Rucola
Bund,Rucola
noUnit,Walnüsse
Handvoll,Walnüsse
g,Walnüsse
EL,Walnüsse
einige,Walnüsse
noUnit,Kreuzkümmel
Msp.,Kreuzkümmel
Prise(n),Kreuzkümmel
Messerspitze,Kreuzkümmel
EL,Kreuzkümmel
TL,Kreuzkümmel
g,rote Zwiebeln
noUnit,rote Zwiebeln
kleine,rote Zwiebeln
große,rote Zwiebeln
g,Frischkäse
TL,Frischkäse
EL,Frischkäse
noUnit,Frischkäse
kleine,Schalotte
noUnit,Schalotte
Prise(n),Chiliflocken
EL,Chiliflocken
einige,Chiliflocken
Messerspitze,Chiliflocken
TL,Chiliflocken
noUnit,Chiliflocken
Msp.,Chiliflocken
g,Champignons
noUnit,Champignons
Glas,Champignons
EL,Butterschmalz
g,Butterschmalz
TL,Butterschmalz
noUnit,Butterschmalz
EL,Sojasoße
Spritzer,Sojasoße
TL,Sojasoße
ml,Sojasoße
noUnit,Sojasoße
Bund,Lauchzwiebeln
noUnit,Lauchzwiebeln
noUnit,Lorbeerblätter
Topf,Oregano
noUnit,Oregano
Zweig(e),Oregano
Bund,Oregano
TL,Oregano
EL,Oregano
Stiel(e),Oregano
Prise(n),Oregano
TL,Paprikapulver
EL,Paprikapulver
Prise(n),Paprikapulver
noUnit,Paprikapulver
EL,Kokosmilch
g,Kokosmilch
Dose(n),Kokosmilch
ml,Kokosmilch
noUnit,Eier (Größe M)
EL,Weißweinessig
TL,Weißweinessig
ml,Weißweinessig
Prise(n),Currypulver
EL,Currypulver
TL,Currypulver
noUnit,Currypulver
TL,Crème fraîche
Becher,Crème fraîche
g,Crème fraîche
EL,Crème fraîche
noUnit,Crème fraîche
g,Lauch
noUnit,Lauch
Stange(n),Lauch
EL,Paniermehl
noUnit,Paniermehl
TL,Paniermehl
g,Paniermehl
g,Pinienkerne
EL,Pinienkerne
TL,weiche Butter
g,weiche Butter
EL,weiche Butter
ml,Ahornsirup
TL,Ahornsirup
EL,Ahornsirup
g,Ahornsirup
noUnit,Ahornsirup
Kopf,Brokkoli
g,Brokkoli
noUnit,Brokkoli
Köpfe,Brokkoli
einige,Eiswürfel
Handvoll,Eiswürfel
noUnit,Eiswürfel
noUnit,Lorbeerblatt
noUnit,Himbeeren
g,Himbeeren
Handvoll,Himbeeren
g,Salatgurke
halbe,Salatgurke
kleine,Salatgurke
noUnit,Salatgurke
ml,Joghurt
noUnit,Joghurt
g,Joghurt
EL,Joghurt
noUnit,Äpfel
g,Äpfel
große,Äpfel
kg,Äpfel
EL,Apfelessig
TL,Apfelessig
ml,Apfelessig
noUnit,Apfelessig
noUnit,Eigelb
g,Magerquark
kg,Magerquark
noUnit,Magerquark
EL,Sesam
noUnit,Sesam
g,Sesam
TL,Sesam
noUnit,Avocado
g,Avocado
noUnit,Rotwein
ml,Rotwein
l,Rotwein
Schuss,Rotwein
EL,Orangensaft
ml,Orangensaft
cl,Orangensaft
noUnit,Orangensaft
g,Erdbeeren
noUnit,Erdbeeren
kg,Erdbeeren
Prise(n),Muskatnuss
noUnit,Muskatnuss
EL,Apfelsaft
Schuss,Apfelsaft
ml,Apfelsaft
cl,Apfelsaft
l,Apfelsaft
Handvoll,Feldsalat
g,Feldsalat
Packung(en),Feldsalat
g,Zartbitterschokolade
noUnit,gelbe Paprika
Schote(n),gelbe Paprika
kleiner,Apfel
noUnit,Apfel
großer,Apfel
TL,geriebener Parmesan
g,geriebener Parmesan
EL,geriebener Parmesan
Handvoll,geriebener Parmesan
g,Kichererbsen
ml,Kichererbsen
Dose(n),Kichererbsen
