nameId,name,amount,unit,unitId,frequency
0,Spinat,200,g,1,7729
2,Chorizo,400,g,1,7729
4,Kirschtomaten,250,g,1,7729
7,Gnocchi (Kühlregal),500,g,1,7729
8,Sahne,200,g,1,7729
11,Parmesan,50,g,1,7729
13,Joghurt,150,g,1,7729
14,Quark,150,g,1,7729
16,Blaubeeren,50,g,1,7729
20,frische Spätzle (Kühlregal),400,g,1,7729
22,REWE ja! Emmentaler gerieben (45 % Fett),100,g,1,7729
24,REWE ja! Rohschinken gewürfelt,125,g,1,7729
28,ja! Weiße Schokolade,100,g,1,7729
29,REWE Bio Süßrahmbutter,85,g,1,7729
33,ja! Puderzucker,50,g,1,7729
35,REWE Beste Wahl Weizenmehl Type 405,65,g,1,7729
37,Lemon Curd,85,g,1,7729
42,Tofu,150,g,1,7729
43,braune Champignons,150,g,1,7729
44,Kirschtomaten,100,g,1,7729
58,Magerquark,100,g,1,7729
61,Macadamia,100,g,1,7729
62,Haselnüsse,100,g,1,7729
63,Vollkorn-Dinkelmehl,400,g,1,7729
64,Haselnüsse (gemahlen),100,g,1,7729
68,Tempeh,400,g,1,7729
90,Schupfnudeln,400,g,1,7729
104,Koriander,15,g,1,7729
112,Risottoreis,200,g,1,7729
118,Parmesan,50,g,1,7729
119,Kürbiskerne,30,g,1,7729
120,Trockenhefe,6,g,1,7729
122,Mehl (Type 550),300,g,1,7729
125,Zwiebeln,700,g,1,7729
127,Räuchertofu,200,g,1,7729
137,"geröstete, gesalzene Erdnüsse",100,g,1,7729
143,Tempeh,300,g,1,7729
145,Brokkoli,400,g,1,7729
146,grüne Bohnen,200,g,1,7729
150,Seitan,500,g,1,7729
163,REWE Regional Fenchel,500,g,1,7729
164,REWE Regional Kartoffeln,100,g,1,7729
174,Bandnudeln,400,g,1,7729
175,Zuckerschoten,300,g,1,7729
185,Parmesan,50,g,1,7729
186,REWE Regional Kartoffeln,800,g,1,7729
191,REWE Bio Ziegenfrischkäse,150,g,1,7729
192,Mehl,80,g,1,7729
193,Paniermehl,150,g,1,7729
199,Butter,50,g,1,7729
200,Mehl,270,g,1,7729
