|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|5|2|40.0
Cluster 1|1|0|0.0
Cluster 10|17|7|41.2
Cluster 11|1|0|0.0
Cluster 12|11|8|72.7
Cluster 13|14|12|85.7
Cluster 14|3|0|0.0
Cluster 15|27|15|55.6
Cluster 16|4|2|50.0
Cluster 17|6|3|50.0
Cluster 18|3|0|0.0
Cluster 19|4|1|25.0
Cluster 2|13|10|76.9
Cluster 20|5|0|0.0
Cluster 21|29|12|41.4
Cluster 22|2|0|0.0
Cluster 23|3|0|0.0
Cluster 24|6|1|16.7
Cluster 25|1|0|0.0
Cluster 26|2|1|50.0
Cluster 27|26|16|61.5
Cluster 28|15|11|73.3
Cluster 29|2|0|0.0
Cluster 3|26|17|65.4
Cluster 30|6|3|50.0
Cluster 31|2|2|100.0
Cluster 32|11|4|36.4
Cluster 33|17|6|35.3
Cluster 34|2|0|0.0
Cluster 35|1|0|0.0
Cluster 36|1|0|0.0
Cluster 37|2|0|0.0
Cluster 38|3|1|33.3
Cluster 39|2|0|0.0
Cluster 4|2|0|0.0
Cluster 40|1|0|0.0
Cluster 41|7|3|42.9
Cluster 42|12|7|58.3
Cluster 43|20|9|45.0
Cluster 44|1|1|100.0
Cluster 45|21|9|42.9
Cluster 46|5|2|40.0
Cluster 47|9|4|44.4
Cluster 48|2|0|0.0
Cluster 49|25|10|40.0
Cluster 5|20|14|70.0
Cluster 6|5|0|0.0
Cluster 7|19|6|31.6
Cluster 8|11|2|18.2
Cluster 9|14|9|64.3
