amount,unit,name,ingredient
2,EL,Agavendicksaft,Agavendicksaft
6,EL,Ahornsirup,Ahornsirup
"0,50",,Ananas,Ananas
4,TL,Backpulver,Backpulver
1,,Bio-Limette,Bio-Limette
50,g,Blaubeeren,Blaubeeren
2,EL,Butterschmalz,Butterschmalz
10,,Cherrytomaten,Cherrytomaten
1,,Chilischote,Chilischote
1,TL,Currypulver,Currypulver
4,,Eigelb,Eigelb
1,Handvoll,Erdnüsse,Erdnüsse
3,,Frühlingszwiebeln,Frühlingszwiebeln
100,g,Haselnüsse,Haselnüsse
100,g,Haselnüsse (gemahlen),Haselnüsse
2,cm,Ingwer,Ingwer
150,g,Joghurt,Joghurt
1,,Karotte,Karotte
100,g,Kirschtomaten,Kirschtomaten
1,TL,Kurkuma,Kurkuma
1,Prise(n),Kümmel,Kümmel
1,,Limette,Limette
100,g,Magerquark,Magerquark
2,EL,Mandelblättchen,Mandelblättchen
240,ml,Milch,Milch
4,,Möhren,Möhren
200,ml,Orangensaft,Orangensaft
65,g,REWE Beste Wahl Weizenmehl Type 405,Weizenmehl
85,g,REWE Bio Süßrahmbutter,Süßrahmbutter
1,,REWE Bio Zitrone,Zitrone
"0,50",,REWE Regional Hokkaido,Hokkaido
1,,REWE Regional Zwiebel,Zwiebel
1,EL,REWE ja! Butter mild gesäuert,Butter
100,g,REWE ja! Emmentaler gerieben (45 % Fett),Emmentaler
1,TL,Rohrohrzucker,Rohrohrzucker
1,,Salatgurke,Salatgurke
1,,Schalotte,Schalotte
2,,Schalotten,Schalotten
5,Halm(e),Schnittlauch,Schnittlauch
2,EL,Sesamöl,Sesamöl
1,,Spitzkohl,Spitzkohl
150,g,Tofu,Tofu
1,,Vanilleschote,Vanilleschote
1,Stange(n),Zitronengras,Zitronengras
2,,Zwiebeln,Zwiebeln
150,g,braune Champignons,Champignons
"0,50",TL,brauner Zucker,Zucker
,,etwas Butter zum Einfetten,Butter
,,etwas Puderzucker zum Bestäuben,Puderzucker
2,TL,flüssiger Honig,Honig
400,g,frische Spätzle (Kühlregal),Spätzle
1,,gelbe Paprika,Paprika
2,EL,"geröstete, gesalzene Erdnüsse",Erdnüsse
50,g,ja! Puderzucker,Puderzucker
100,g,ja! Weiße Schokolade,Schokolade
1,,kleine Banane,Banane
"0,50",,rote Chilischote,Chilischote
1,,rote Zwiebel,Zwiebel
